   7.57550:    3.33765795 x 10^(-38) cm2
   7.68650:    3.38435256 x 10^(-38) cm2
   7.79920:    3.43340981 x 10^(-38) cm2
   7.91350:    3.48628416 x 10^(-38) cm2
   8.02940:    3.54260660 x 10^(-38) cm2
   8.14710:    3.60132547 x 10^(-38) cm2
   8.26650:    3.66122203 x 10^(-38) cm2
   8.38760:    3.72095237 x 10^(-38) cm2
   8.51060:    3.77885022 x 10^(-38) cm2
   8.63530:    3.83473455 x 10^(-38) cm2
   8.76180:    3.88903197 x 10^(-38) cm2
   8.89020:    3.94221285 x 10^(-38) cm2
   9.02050:    3.99483107 x 10^(-38) cm2
   9.15270:    4.04775325 x 10^(-38) cm2
   9.28680:    4.10156437 x 10^(-38) cm2
   9.42290:    4.15670057 x 10^(-38) cm2
   9.56100:    4.21363718 x 10^(-38) cm2
   9.70120:    4.27288500 x 10^(-38) cm2
   9.84330:    4.33476664 x 10^(-38) cm2
   9.98760:    4.39880485 x 10^(-38) cm2
  10.13400:    4.46418276 x 10^(-38) cm2
  10.28200:    4.53000366 x 10^(-38) cm2
  10.43300:    4.59528534 x 10^(-38) cm2
  10.58600:    4.65915173 x 10^(-38) cm2
  10.74100:    4.72223741 x 10^(-38) cm2
  10.89900:    4.78587280 x 10^(-38) cm2
  11.05800:    4.85150605 x 10^(-38) cm2
  11.22000:    4.92071523 x 10^(-38) cm2
  11.38500:    4.99497505 x 10^(-38) cm2
  11.55200:    5.07374178 x 10^(-38) cm2
  11.72100:    5.15543308 x 10^(-38) cm2
  11.89300:    5.23833008 x 10^(-38) cm2
  12.06700:    5.32055604 x 10^(-38) cm2
  12.24400:    5.40027696 x 10^(-38) cm2
  12.42300:    5.47733925 x 10^(-38) cm2
  12.60500:    5.55248914 x 10^(-38) cm2
  12.79000:    5.62653209 x 10^(-38) cm2
  12.97700:    5.70034370 x 10^(-38) cm2
  13.16800:    5.77483455 x 10^(-38) cm2
  13.36100:    5.85060965 x 10^(-38) cm2
  13.55600:    5.92813814 x 10^(-38) cm2
  13.75500:    6.00795705 x 10^(-38) cm2
  13.95700:    6.09072841 x 10^(-38) cm2
  14.16100:    6.17708102 x 10^(-38) cm2
  14.36900:    6.26670203 x 10^(-38) cm2
  14.57900:    6.35864658 x 10^(-38) cm2
  14.79300:    6.45186411 x 10^(-38) cm2
  15.01000:    6.54511023 x 10^(-38) cm2
  15.23000:    6.63702718 x 10^(-38) cm2
  15.45300:    6.72743428 x 10^(-38) cm2
  15.67900:    6.81703154 x 10^(-38) cm2
  15.90900:    6.90661797 x 10^(-38) cm2
  16.14200:    6.99708214 x 10^(-38) cm2
  16.37900:    7.08943114 x 10^(-38) cm2
  16.61900:    7.18397193 x 10^(-38) cm2
  16.86200:    7.28039080 x 10^(-38) cm2
  17.10900:    7.37830803 x 10^(-38) cm2
  17.36000:    7.47730491 x 10^(-38) cm2
  17.61500:    7.57703120 x 10^(-38) cm2
  17.87300:    7.67819333 x 10^(-38) cm2
  18.13500:    7.78201177 x 10^(-38) cm2
  18.40000:    7.88976132 x 10^(-38) cm2
  18.67000:    8.00282216 x 10^(-38) cm2
  18.94400:    8.12247537 x 10^(-38) cm2
  19.22100:    8.24771096 x 10^(-38) cm2
  19.50300:    8.37625479 x 10^(-38) cm2
  19.78900:    8.50579668 x 10^(-38) cm2
  20.07900:    8.63382107 x 10^(-38) cm2
  20.37300:    8.75782218 x 10^(-38) cm2
  20.67200:    8.87787158 x 10^(-38) cm2
  20.97500:    8.99576289 x 10^(-38) cm2
  21.28200:    9.11300508 x 10^(-38) cm2
  21.59400:    9.23240852 x 10^(-38) cm2
  21.91000:    9.35567706 x 10^(-38) cm2
  22.23100:    9.48320955 x 10^(-38) cm2
  22.55700:    9.61402063 x 10^(-38) cm2
  22.88800:    9.74695668 x 10^(-38) cm2
  23.22300:    9.88077239 x 10^(-38) cm2
  23.56300:   10.01419986 x 10^(-38) cm2
  23.90900:   10.14720523 x 10^(-38) cm2
  24.25900:   10.28098442 x 10^(-38) cm2
  24.61500:   10.41725515 x 10^(-38) cm2
  24.97500:   10.55781754 x 10^(-38) cm2
  25.34100:   10.70449634 x 10^(-38) cm2
  25.71300:   10.85756910 x 10^(-38) cm2
  26.09000:   11.01582536 x 10^(-38) cm2
  26.47200:   11.17738810 x 10^(-38) cm2
  26.86000:   11.34013710 x 10^(-38) cm2
  27.25400:   11.50192046 x 10^(-38) cm2
  27.65300:   11.66216189 x 10^(-38) cm2
  28.05800:   11.82173535 x 10^(-38) cm2
  28.46900:   11.98179351 x 10^(-38) cm2
  28.88700:   12.14364968 x 10^(-38) cm2
  29.31000:   12.30864778 x 10^(-38) cm2
  29.73900:   12.47692305 x 10^(-38) cm2
  30.17500:   12.64749216 x 10^(-38) cm2
  30.61700:   12.81958835 x 10^(-38) cm2
  31.06600:   12.99259146 x 10^(-38) cm2
  31.52100:   13.16591598 x 10^(-38) cm2
  31.98300:   13.34057771 x 10^(-38) cm2
