   1.61640:    2.09307291 x 10^(-38) cm2
   1.64010:    2.13977133 x 10^(-38) cm2
   1.66410:    2.18393772 x 10^(-38) cm2
   1.68850:    2.23713613 x 10^(-38) cm2
   1.71330:    2.28309201 x 10^(-38) cm2
   1.73840:    2.33117680 x 10^(-38) cm2
   1.76390:    2.38037604 x 10^(-38) cm2
   1.78980:    2.43092166 x 10^(-38) cm2
   1.81600:    2.47899267 x 10^(-38) cm2
   1.84260:    2.52876656 x 10^(-38) cm2
   1.86960:    2.57924504 x 10^(-38) cm2
   1.89710:    2.62957466 x 10^(-38) cm2
   1.92490:    2.68256479 x 10^(-38) cm2
   1.95310:    2.73136959 x 10^(-38) cm2
   1.98170:    2.78678527 x 10^(-38) cm2
   2.01080:    2.83921807 x 10^(-38) cm2
   2.04030:    2.89489191 x 10^(-38) cm2
   2.07020:    2.95232958 x 10^(-38) cm2
   2.10050:    3.00657507 x 10^(-38) cm2
   2.13130:    3.06236357 x 10^(-38) cm2
   2.16260:    3.11872752 x 10^(-38) cm2
   2.19430:    3.17588336 x 10^(-38) cm2
   2.22650:    3.23154069 x 10^(-38) cm2
   2.25910:    3.28627468 x 10^(-38) cm2
   2.29230:    3.34265836 x 10^(-38) cm2
   2.32590:    3.40015859 x 10^(-38) cm2
   2.36000:    3.45897401 x 10^(-38) cm2
   2.39460:    3.51921532 x 10^(-38) cm2
   2.42970:    3.57667212 x 10^(-38) cm2
   2.46530:    3.63939253 x 10^(-38) cm2
   2.50150:    3.69894731 x 10^(-38) cm2
   2.53810:    3.76182769 x 10^(-38) cm2
   2.57540:    3.82557209 x 10^(-38) cm2
   2.61310:    3.89075609 x 10^(-38) cm2
   2.65140:    3.95326962 x 10^(-38) cm2
   2.69030:    4.02206768 x 10^(-38) cm2
   2.72980:    4.08873809 x 10^(-38) cm2
   2.76980:    4.15677461 x 10^(-38) cm2
   2.81040:    4.22303147 x 10^(-38) cm2
   2.85160:    4.29378068 x 10^(-38) cm2
   2.89340:    4.35926108 x 10^(-38) cm2
   2.93580:    4.42572271 x 10^(-38) cm2
   2.97890:    4.49369471 x 10^(-38) cm2
   3.02260:    4.56237150 x 10^(-38) cm2
   3.06690:    4.63086865 x 10^(-38) cm2
   3.11190:    4.70275119 x 10^(-38) cm2
   3.15750:    4.77751546 x 10^(-38) cm2
   3.20380:    4.84762357 x 10^(-38) cm2
   3.25080:    4.92594751 x 10^(-38) cm2
   3.29840:    5.00519139 x 10^(-38) cm2
   3.34680:    5.08363906 x 10^(-38) cm2
   3.39590:    5.16475224 x 10^(-38) cm2
   3.44570:    5.24604002 x 10^(-38) cm2
   3.49620:    5.32434773 x 10^(-38) cm2
   3.54740:    5.40571974 x 10^(-38) cm2
   3.59950:    5.48628239 x 10^(-38) cm2
   3.65220:    5.56528052 x 10^(-38) cm2
   3.70580:    5.64656200 x 10^(-38) cm2
   3.76010:    5.73227086 x 10^(-38) cm2
   3.81530:    5.82030864 x 10^(-38) cm2
   3.87120:    5.91377713 x 10^(-38) cm2
   3.92800:    6.00106847 x 10^(-38) cm2
