   1.74290:   18.42539946 x 10^(-38) cm2
   1.76840:   18.77954240 x 10^(-38) cm2
   1.79430:   19.10430993 x 10^(-38) cm2
   1.82060:   19.48196641 x 10^(-38) cm2
   1.84730:   19.84256667 x 10^(-38) cm2
   1.87440:   20.16779179 x 10^(-38) cm2
   1.90180:   20.53808145 x 10^(-38) cm2
   1.92970:   20.89160054 x 10^(-38) cm2
   1.95800:   21.25660071 x 10^(-38) cm2
   1.98670:   21.62479380 x 10^(-38) cm2
   2.01580:   22.02759620 x 10^(-38) cm2
   2.04530:   22.39669734 x 10^(-38) cm2
   2.07530:   22.77060556 x 10^(-38) cm2
   2.10570:   23.18156181 x 10^(-38) cm2
   2.13660:   23.56421437 x 10^(-38) cm2
   2.16790:   23.95839002 x 10^(-38) cm2
   2.19970:   24.38347663 x 10^(-38) cm2
   2.23190:   24.76763036 x 10^(-38) cm2
   2.26460:   25.14590483 x 10^(-38) cm2
   2.29780:   25.57630258 x 10^(-38) cm2
   2.33150:   25.95766064 x 10^(-38) cm2
   2.36560:   26.34105661 x 10^(-38) cm2
   2.40030:   26.76257271 x 10^(-38) cm2
   2.43550:   27.17565658 x 10^(-38) cm2
   2.47120:   27.59617811 x 10^(-38) cm2
   2.50740:   28.04185985 x 10^(-38) cm2
   2.54410:   28.47199278 x 10^(-38) cm2
   2.58140:   28.90586916 x 10^(-38) cm2
   2.61920:   29.33005109 x 10^(-38) cm2
   2.65760:   29.75116123 x 10^(-38) cm2
   2.69660:   30.20429865 x 10^(-38) cm2
   2.73610:   30.63523835 x 10^(-38) cm2
   2.77620:   31.08723459 x 10^(-38) cm2
   2.81690:   31.55060221 x 10^(-38) cm2
   2.85820:   32.04316655 x 10^(-38) cm2
   2.90000:   32.51035357 x 10^(-38) cm2
   2.94250:   32.99797013 x 10^(-38) cm2
   2.98570:   33.48574284 x 10^(-38) cm2
   3.02940:   33.97183097 x 10^(-38) cm2
   3.07380:   34.44322562 x 10^(-38) cm2
   3.11890:   34.90298274 x 10^(-38) cm2
   3.16460:   35.37357843 x 10^(-38) cm2
   3.21090:   35.83029418 x 10^(-38) cm2
   3.25800:   36.32195472 x 10^(-38) cm2
   3.30570:   36.85156036 x 10^(-38) cm2
   3.35420:   37.38201380 x 10^(-38) cm2
