   4.04400:    1.00412812 x 10^(-38) cm2
   4.10330:    1.01687051 x 10^(-38) cm2
   4.16350:    1.02941023 x 10^(-38) cm2
   4.22450:    1.04180450 x 10^(-38) cm2
   4.28640:    1.05405753 x 10^(-38) cm2
   4.34930:    1.06613045 x 10^(-38) cm2
   4.41310:    1.07803676 x 10^(-38) cm2
   4.47780:    1.08996315 x 10^(-38) cm2
   4.54340:    1.10214654 x 10^(-38) cm2
   4.61010:    1.11487045 x 10^(-38) cm2
   4.67760:    1.12847451 x 10^(-38) cm2
   4.74620:    1.14318320 x 10^(-38) cm2
   4.81580:    1.15876912 x 10^(-38) cm2
   4.88640:    1.17488784 x 10^(-38) cm2
   4.95810:    1.19116006 x 10^(-38) cm2
   5.03080:    1.20716686 x 10^(-38) cm2
   5.10460:    1.22258139 x 10^(-38) cm2
   5.17940:    1.23749186 x 10^(-38) cm2
   5.25530:    1.25209029 x 10^(-38) cm2
   5.33240:    1.26658697 x 10^(-38) cm2
   5.41060:    1.28121120 x 10^(-38) cm2
   5.48990:    1.29617430 x 10^(-38) cm2
   5.57040:    1.31156665 x 10^(-38) cm2
   5.65210:    1.32745452 x 10^(-38) cm2
   5.73500:    1.34390450 x 10^(-38) cm2
   5.81910:    1.36095851 x 10^(-38) cm2
   5.90440:    1.37861282 x 10^(-38) cm2
   5.99100:    1.39672167 x 10^(-38) cm2
   6.07880:    1.41509154 x 10^(-38) cm2
   6.16790:    1.43351509 x 10^(-38) cm2
   6.25840:    1.45181634 x 10^(-38) cm2
   6.35010:    1.46988722 x 10^(-38) cm2
   6.44330:    1.48781555 x 10^(-38) cm2
   6.53770:    1.50574967 x 10^(-38) cm2
   6.63360:    1.52385063 x 10^(-38) cm2
   6.73090:    1.54226535 x 10^(-38) cm2
   6.82950:    1.56109803 x 10^(-38) cm2
   6.92970:    1.58035516 x 10^(-38) cm2
   7.03130:    1.60001485 x 10^(-38) cm2
   7.13440:    1.62005258 x 10^(-38) cm2
   7.23900:    1.64044309 x 10^(-38) cm2
   7.34510:    1.66118057 x 10^(-38) cm2
   7.45280:    1.68234304 x 10^(-38) cm2
   7.56210:    1.70403911 x 10^(-38) cm2
   7.67300:    1.72638640 x 10^(-38) cm2
   7.78550:    1.74951240 x 10^(-38) cm2
   7.89970:    1.77350066 x 10^(-38) cm2
   8.01550:    1.79817326 x 10^(-38) cm2
   8.13300:    1.82325385 x 10^(-38) cm2
   8.25230:    1.84844034 x 10^(-38) cm2
   8.37330:    1.87340279 x 10^(-38) cm2
   8.49610:    1.89785494 x 10^(-38) cm2
   8.62060:    1.92187243 x 10^(-38) cm2
   8.74700:    1.94566348 x 10^(-38) cm2
   8.87530:    1.96945636 x 10^(-38) cm2
   9.00540:    1.99350523 x 10^(-38) cm2
   9.13750:    2.01809190 x 10^(-38) cm2
   9.27150:    2.04332258 x 10^(-38) cm2
   9.40740:    2.06923369 x 10^(-38) cm2
   9.54530:    2.09586569 x 10^(-38) cm2
   9.68530:    2.12325633 x 10^(-38) cm2
   9.82730:    2.15135684 x 10^(-38) cm2
   9.97140:    2.18003282 x 10^(-38) cm2
  10.11800:    2.20913560 x 10^(-38) cm2
  10.26600:    2.23850245 x 10^(-38) cm2
  10.41600:    2.26795704 x 10^(-38) cm2
  10.56900:    2.29741076 x 10^(-38) cm2
  10.72400:    2.32704033 x 10^(-38) cm2
  10.88100:    2.35710559 x 10^(-38) cm2
  11.04100:    2.38788970 x 10^(-38) cm2
  11.20300:    2.41970047 x 10^(-38) cm2
  11.36700:    2.45279229 x 10^(-38) cm2
  11.53400:    2.48703607 x 10^(-38) cm2
  11.70300:    2.52214521 x 10^(-38) cm2
  11.87500:    2.55780522 x 10^(-38) cm2
  12.04900:    2.59367225 x 10^(-38) cm2
  12.22500:    2.62941921 x 10^(-38) cm2
  12.40500:    2.66503613 x 10^(-38) cm2
  12.58600:    2.70066393 x 10^(-38) cm2
  12.77100:    2.73645764 x 10^(-38) cm2
  12.95800:    2.77258671 x 10^(-38) cm2
  13.14800:    2.80921652 x 10^(-38) cm2
  13.34100:    2.84639466 x 10^(-38) cm2
  13.53700:    2.88411794 x 10^(-38) cm2
  13.73500:    2.92238215 x 10^(-38) cm2
  13.93700:    2.96118214 x 10^(-38) cm2
  14.14100:    3.00052246 x 10^(-38) cm2
  14.34800:    3.04045010 x 10^(-38) cm2
  14.55900:    3.08100696 x 10^(-38) cm2
  14.77200:    3.12223630 x 10^(-38) cm2
  14.98900:    3.16418452 x 10^(-38) cm2
  15.20800:    3.20688683 x 10^(-38) cm2
  15.43100:    3.25031056 x 10^(-38) cm2
  15.65800:    3.29444060 x 10^(-38) cm2
  15.88700:    3.33926564 x 10^(-38) cm2
  16.12000:    3.38477251 x 10^(-38) cm2
  16.35700:    3.43095463 x 10^(-38) cm2
  16.59700:    3.47785637 x 10^(-38) cm2
  16.84000:    3.52550691 x 10^(-38) cm2
  17.08700:    3.57392902 x 10^(-38) cm2
  17.33700:    3.62314664 x 10^(-38) cm2
  17.59200:    3.67318920 x 10^(-38) cm2
  17.84900:    3.72411274 x 10^(-38) cm2
  18.11100:    3.77593400 x 10^(-38) cm2
  18.37700:    3.82865333 x 10^(-38) cm2
  18.64600:    3.88223163 x 10^(-38) cm2
  18.92000:    3.93672220 x 10^(-38) cm2
  19.19700:    3.99182935 x 10^(-38) cm2
  19.47800:    4.04726955 x 10^(-38) cm2
  19.76400:    4.10279417 x 10^(-38) cm2
  20.05400:    4.15813300 x 10^(-38) cm2
  20.34800:    4.21305569 x 10^(-38) cm2
  20.64600:    4.26799861 x 10^(-38) cm2
  20.94900:    4.32379571 x 10^(-38) cm2
  21.25600:    4.38130812 x 10^(-38) cm2
  21.56800:    4.44147124 x 10^(-38) cm2
  21.88400:    4.50519494 x 10^(-38) cm2
  22.20500:    4.57222239 x 10^(-38) cm2
  22.53100:    4.64143273 x 10^(-38) cm2
  22.86100:    4.71155907 x 10^(-38) cm2
  23.19600:    4.78121642 x 10^(-38) cm2
  23.53600:    4.84900077 x 10^(-38) cm2
  23.88100:    4.91471149 x 10^(-38) cm2
  24.23200:    4.97910705 x 10^(-38) cm2
  24.58700:    5.04315504 x 10^(-38) cm2
  24.94700:    5.10792789 x 10^(-38) cm2
  25.31300:    5.17454839 x 10^(-38) cm2
  25.68400:    5.24359936 x 10^(-38) cm2
  26.06100:    5.31520855 x 10^(-38) cm2
  26.44300:    5.38935996 x 10^(-38) cm2
  26.83100:    5.46600023 x 10^(-38) cm2
  27.22400:    5.54505067 x 10^(-38) cm2
  27.62300:    5.62618854 x 10^(-38) cm2
  28.02800:    5.70888697 x 10^(-38) cm2
  28.43900:    5.79260634 x 10^(-38) cm2
  28.85600:    5.87677327 x 10^(-38) cm2
  29.27900:    5.96071017 x 10^(-38) cm2
  29.70900:    6.04447793 x 10^(-38) cm2
