   2.36000:    3.46029606 x 10^(-38) cm2
   2.39460:    3.51892412 x 10^(-38) cm2
   2.42970:    3.57593626 x 10^(-38) cm2
   2.46530:    3.63899468 x 10^(-38) cm2
   2.50150:    3.69882453 x 10^(-38) cm2
   2.53810:    3.76213262 x 10^(-38) cm2
   2.57540:    3.82686887 x 10^(-38) cm2
   2.61310:    3.89054022 x 10^(-38) cm2
   2.65140:    3.95599682 x 10^(-38) cm2
   2.69030:    4.02245747 x 10^(-38) cm2
   2.72980:    4.08785460 x 10^(-38) cm2
   2.76980:    4.15665104 x 10^(-38) cm2
   2.81040:    4.22326920 x 10^(-38) cm2
   2.85160:    4.29173520 x 10^(-38) cm2
   2.89340:    4.35828249 x 10^(-38) cm2
   2.93580:    4.42703092 x 10^(-38) cm2
   2.97890:    4.49559807 x 10^(-38) cm2
   3.02260:    4.56211125 x 10^(-38) cm2
   3.06690:    4.62929523 x 10^(-38) cm2
   3.11190:    4.70374800 x 10^(-38) cm2
   3.15750:    4.77777970 x 10^(-38) cm2
   3.20380:    4.84963932 x 10^(-38) cm2
   3.25080:    4.92628943 x 10^(-38) cm2
   3.29840:    5.00738053 x 10^(-38) cm2
   3.34680:    5.08291657 x 10^(-38) cm2
   3.39590:    5.16451069 x 10^(-38) cm2
   3.44570:    5.24506937 x 10^(-38) cm2
   3.49620:    5.32491199 x 10^(-38) cm2
   3.54740:    5.40591516 x 10^(-38) cm2
   3.59950:    5.48650515 x 10^(-38) cm2
   3.65220:    5.56756503 x 10^(-38) cm2
   3.70580:    5.64782036 x 10^(-38) cm2
   3.76010:    5.73240665 x 10^(-38) cm2
   3.81530:    5.82203762 x 10^(-38) cm2
   3.87120:    5.91483731 x 10^(-38) cm2
   3.92800:    6.00261299 x 10^(-38) cm2
   3.98560:    6.09994423 x 10^(-38) cm2
   4.04400:    6.19486535 x 10^(-38) cm2
   4.10330:    6.28560771 x 10^(-38) cm2
   4.16350:    6.37744053 x 10^(-38) cm2
   4.22450:    6.47317588 x 10^(-38) cm2
   4.28640:    6.56758934 x 10^(-38) cm2
   4.34930:    6.65674557 x 10^(-38) cm2
   4.41310:    6.74663416 x 10^(-38) cm2
   4.47780:    6.83315057 x 10^(-38) cm2
   4.54340:    6.92930057 x 10^(-38) cm2
   4.61010:    7.02068648 x 10^(-38) cm2
   4.67760:    7.11713863 x 10^(-38) cm2
   4.74620:    7.22777005 x 10^(-38) cm2
   4.81580:    7.33898045 x 10^(-38) cm2
   4.88640:    7.45345601 x 10^(-38) cm2
   4.95810:    7.57167581 x 10^(-38) cm2
   5.03080:    7.68545466 x 10^(-38) cm2
   5.10460:    7.80243212 x 10^(-38) cm2
   5.17940:    7.91179233 x 10^(-38) cm2
   5.25530:    8.02623746 x 10^(-38) cm2
   5.33240:    8.13535338 x 10^(-38) cm2
   5.41060:    8.24423767 x 10^(-38) cm2
   5.48990:    8.34896869 x 10^(-38) cm2
   5.57040:    8.45661602 x 10^(-38) cm2
   5.65210:    8.56549907 x 10^(-38) cm2
   5.73500:    8.67823558 x 10^(-38) cm2
   5.81910:    8.80404721 x 10^(-38) cm2
   5.90440:    8.93530864 x 10^(-38) cm2
   5.99100:    9.07346082 x 10^(-38) cm2
   6.07880:    9.21641807 x 10^(-38) cm2
   6.16790:    9.35639308 x 10^(-38) cm2
   6.25840:    9.49169002 x 10^(-38) cm2
   6.35010:    9.62395387 x 10^(-38) cm2
   6.44330:    9.75051588 x 10^(-38) cm2
   6.53770:    9.87579398 x 10^(-38) cm2
   6.63360:   10.00169559 x 10^(-38) cm2
   6.73090:   10.13470538 x 10^(-38) cm2
   6.82950:   10.27180964 x 10^(-38) cm2
   6.92970:   10.41813080 x 10^(-38) cm2
   7.03130:   10.56825631 x 10^(-38) cm2
   7.13440:   10.71782461 x 10^(-38) cm2
   7.23900:   10.86525841 x 10^(-38) cm2
   7.34510:   11.00994778 x 10^(-38) cm2
   7.45280:   11.15152976 x 10^(-38) cm2
   7.56210:   11.29203203 x 10^(-38) cm2
   7.67300:   11.44098421 x 10^(-38) cm2
   7.78550:   11.59717898 x 10^(-38) cm2
   7.89970:   11.76561350 x 10^(-38) cm2
   8.01550:   11.94639056 x 10^(-38) cm2
   8.13300:   12.13183813 x 10^(-38) cm2
   8.25230:   12.31871947 x 10^(-38) cm2
   8.37330:   12.50266749 x 10^(-38) cm2
   8.49610:   12.67796838 x 10^(-38) cm2
   8.62060:   12.85273151 x 10^(-38) cm2
   8.74700:   13.01718241 x 10^(-38) cm2
   8.87530:   13.18124323 x 10^(-38) cm2
   9.00540:   13.34523935 x 10^(-38) cm2
   9.13750:   13.51002857 x 10^(-38) cm2
   9.27150:   13.67353415 x 10^(-38) cm2
   9.40740:   13.84998248 x 10^(-38) cm2
   9.54530:   14.03414446 x 10^(-38) cm2
   9.68530:   14.22669144 x 10^(-38) cm2
   9.82730:   14.42818244 x 10^(-38) cm2
   9.97140:   14.63416816 x 10^(-38) cm2
  10.11800:   14.84089803 x 10^(-38) cm2
  10.26600:   15.05210564 x 10^(-38) cm2
  10.41600:   15.26011962 x 10^(-38) cm2
  10.56900:   15.46383722 x 10^(-38) cm2
  10.72400:   15.65978093 x 10^(-38) cm2
  10.88100:   15.85530578 x 10^(-38) cm2
  11.04100:   16.05371018 x 10^(-38) cm2
  11.20300:   16.26527552 x 10^(-38) cm2
  11.36700:   16.49731376 x 10^(-38) cm2
  11.53400:   16.74391707 x 10^(-38) cm2
  11.70300:   16.99920835 x 10^(-38) cm2
  11.87500:   17.26112623 x 10^(-38) cm2
  12.04900:   17.52002281 x 10^(-38) cm2
  12.22500:   17.77553149 x 10^(-38) cm2
  12.40500:   18.02420575 x 10^(-38) cm2
  12.58600:   18.26883877 x 10^(-38) cm2
  12.77100:   18.50925426 x 10^(-38) cm2
  12.95800:   18.74905731 x 10^(-38) cm2
  13.14800:   18.99195297 x 10^(-38) cm2
  13.34100:   19.23956296 x 10^(-38) cm2
  13.53700:   19.49208888 x 10^(-38) cm2
  13.73500:   19.74564881 x 10^(-38) cm2
