   1.98170:    0.23703515 x 10^(-38) cm2
   2.01080:    0.24131193 x 10^(-38) cm2
   2.04030:    0.24566546 x 10^(-38) cm2
   2.07020:    0.25006498 x 10^(-38) cm2
   2.10050:    0.25447705 x 10^(-38) cm2
   2.13130:    0.25887769 x 10^(-38) cm2
   2.16260:    0.26326557 x 10^(-38) cm2
   2.19430:    0.26764629 x 10^(-38) cm2
   2.22650:    0.27202646 x 10^(-38) cm2
   2.25910:    0.27641336 x 10^(-38) cm2
   2.29230:    0.28081620 x 10^(-38) cm2
   2.32590:    0.28524616 x 10^(-38) cm2
   2.36000:    0.28971263 x 10^(-38) cm2
   2.39460:    0.29422536 x 10^(-38) cm2
   2.42970:    0.29879497 x 10^(-38) cm2
   2.46530:    0.30343688 x 10^(-38) cm2
   2.50150:    0.30817606 x 10^(-38) cm2
   2.53810:    0.31304322 x 10^(-38) cm2
   2.57540:    0.31807246 x 10^(-38) cm2
   2.61310:    0.32330044 x 10^(-38) cm2
   2.65140:    0.32873215 x 10^(-38) cm2
   2.69030:    0.33430070 x 10^(-38) cm2
   2.72980:    0.33991779 x 10^(-38) cm2
   2.76980:    0.34548380 x 10^(-38) cm2
   2.81040:    0.35089054 x 10^(-38) cm2
   2.85160:    0.35607597 x 10^(-38) cm2
   2.89340:    0.36109406 x 10^(-38) cm2
   2.93580:    0.36602534 x 10^(-38) cm2
   2.97890:    0.37096248 x 10^(-38) cm2
   3.02260:    0.37600667 x 10^(-38) cm2
   3.06690:    0.38123664 x 10^(-38) cm2
   3.11190:    0.38666552 x 10^(-38) cm2
   3.15750:    0.39229373 x 10^(-38) cm2
   3.20380:    0.39808744 x 10^(-38) cm2
   3.25080:    0.40410122 x 10^(-38) cm2
   3.29840:    0.41028357 x 10^(-38) cm2
   3.34680:    0.41658004 x 10^(-38) cm2
   3.39590:    0.42293175 x 10^(-38) cm2
   3.44570:    0.42928727 x 10^(-38) cm2
   3.49620:    0.43559251 x 10^(-38) cm2
   3.54740:    0.44182895 x 10^(-38) cm2
   3.59950:    0.44807987 x 10^(-38) cm2
   3.65220:    0.45444457 x 10^(-38) cm2
   3.70580:    0.46099867 x 10^(-38) cm2
   3.76010:    0.46781399 x 10^(-38) cm2
   3.81530:    0.47492603 x 10^(-38) cm2
   3.87120:    0.48225033 x 10^(-38) cm2
   3.92800:    0.48967865 x 10^(-38) cm2
   3.98560:    0.49713762 x 10^(-38) cm2
   4.04400:    0.50456730 x 10^(-38) cm2
   4.10330:    0.51192391 x 10^(-38) cm2
   4.16350:    0.51922114 x 10^(-38) cm2
   4.22450:    0.52648255 x 10^(-38) cm2
   4.28640:    0.53369740 x 10^(-38) cm2
   4.34930:    0.54082681 x 10^(-38) cm2
   4.41310:    0.54786177 x 10^(-38) cm2
   4.47780:    0.55489530 x 10^(-38) cm2
   4.54340:    0.56204885 x 10^(-38) cm2
   4.61010:    0.56947030 x 10^(-38) cm2
   4.67760:    0.57733958 x 10^(-38) cm2
   4.74620:    0.58578229 x 10^(-38) cm2
   4.81580:    0.59470596 x 10^(-38) cm2
   4.88640:    0.60396286 x 10^(-38) cm2
   4.95810:    0.61338962 x 10^(-38) cm2
   5.03080:    0.62280461 x 10^(-38) cm2
   5.10460:    0.63205347 x 10^(-38) cm2
   5.17940:    0.64111837 x 10^(-38) cm2
   5.25530:    0.65001241 x 10^(-38) cm2
   5.33240:    0.65875078 x 10^(-38) cm2
   5.41060:    0.66735165 x 10^(-38) cm2
   5.48990:    0.67586260 x 10^(-38) cm2
   5.57040:    0.68443348 x 10^(-38) cm2
   5.65210:    0.69324987 x 10^(-38) cm2
   5.73500:    0.70251023 x 10^(-38) cm2
   5.81910:    0.71240739 x 10^(-38) cm2
   5.90440:    0.72305629 x 10^(-38) cm2
   5.99100:    0.73425434 x 10^(-38) cm2
   6.07880:    0.74570123 x 10^(-38) cm2
   6.16790:    0.75707198 x 10^(-38) cm2
   6.25840:    0.76804967 x 10^(-38) cm2
   6.35010:    0.77841357 x 10^(-38) cm2
   6.44330:    0.78832828 x 10^(-38) cm2
   6.53770:    0.79807708 x 10^(-38) cm2
   6.63360:    0.80796892 x 10^(-38) cm2
   6.73090:    0.81831967 x 10^(-38) cm2
