  43.37600:    4.85066995 x 10^(-38) cm2
  44.01200:    4.92048159 x 10^(-38) cm2
  44.65700:    4.99109688 x 10^(-38) cm2
  45.31200:    5.06255352 x 10^(-38) cm2
  45.97700:    5.13496419 x 10^(-38) cm2
  46.65100:    5.20852843 x 10^(-38) cm2
  47.33500:    5.28345914 x 10^(-38) cm2
  48.02900:    5.35983145 x 10^(-38) cm2
  48.73300:    5.43757621 x 10^(-38) cm2
  49.44800:    5.51662018 x 10^(-38) cm2
  50.17300:    5.59689332 x 10^(-38) cm2
  50.90800:    5.67832029 x 10^(-38) cm2
  51.65500:    5.76093681 x 10^(-38) cm2
  52.41200:    5.84496637 x 10^(-38) cm2
  53.18100:    5.93055915 x 10^(-38) cm2
  53.96000:    6.01774534 x 10^(-38) cm2
  54.75200:    6.10654770 x 10^(-38) cm2
  55.55400:    6.19690325 x 10^(-38) cm2
  56.36900:    6.28851393 x 10^(-38) cm2
  57.19600:    6.38111184 x 10^(-38) cm2
  58.03400:    6.47452749 x 10^(-38) cm2
  58.88500:    6.56858366 x 10^(-38) cm2
  59.74900:    6.66314679 x 10^(-38) cm2
  60.62500:    6.75835510 x 10^(-38) cm2
  61.51400:    6.85451248 x 10^(-38) cm2
  62.41600:    6.95204373 x 10^(-38) cm2
  63.33100:    7.05141742 x 10^(-38) cm2
  64.25900:    7.15310664 x 10^(-38) cm2
  65.20200:    7.25731459 x 10^(-38) cm2
  66.15800:    7.36393816 x 10^(-38) cm2
  67.12800:    7.47262674 x 10^(-38) cm2
  68.11200:    7.58297732 x 10^(-38) cm2
  69.11100:    7.69456196 x 10^(-38) cm2
  70.12400:    7.80715161 x 10^(-38) cm2
  71.15200:    7.92076563 x 10^(-38) cm2
  72.19500:    8.03553205 x 10^(-38) cm2
  73.25400:    8.15159813 x 10^(-38) cm2
  74.32800:    8.26912079 x 10^(-38) cm2
  75.41800:    8.38814521 x 10^(-38) cm2
  76.52400:    8.50872273 x 10^(-38) cm2
  77.64600:    8.63118053 x 10^(-38) cm2
  78.78400:    8.75589825 x 10^(-38) cm2
  79.94000:    8.88328720 x 10^(-38) cm2
  81.11200:    9.01383161 x 10^(-38) cm2
  82.30100:    9.14787512 x 10^(-38) cm2
  83.50800:    9.28533555 x 10^(-38) cm2
  84.73200:    9.42607414 x 10^(-38) cm2
  85.97500:    9.56993416 x 10^(-38) cm2
  87.23500:    9.71673107 x 10^(-38) cm2
  88.51400:    9.86612461 x 10^(-38) cm2
  89.81200:   10.01755036 x 10^(-38) cm2
  91.12900:   10.17037221 x 10^(-38) cm2
  92.46500:   10.32389549 x 10^(-38) cm2
  93.82100:   10.47736901 x 10^(-38) cm2
  95.19700:   10.63050670 x 10^(-38) cm2
  96.59300:   10.78397543 x 10^(-38) cm2
  98.00900:   10.93860921 x 10^(-38) cm2
  99.44600:   11.09529336 x 10^(-38) cm2
 100.90000:   11.25503284 x 10^(-38) cm2
 102.38000:   11.41859076 x 10^(-38) cm2
 103.88000:   11.58593028 x 10^(-38) cm2
 105.41000:   11.75691653 x 10^(-38) cm2
 106.95000:   11.93139666 x 10^(-38) cm2
 108.52000:   12.10919821 x 10^(-38) cm2
 110.11000:   12.29005434 x 10^(-38) cm2
 111.73000:   12.47351869 x 10^(-38) cm2
 113.37000:   12.65908288 x 10^(-38) cm2
 115.03000:   12.84619062 x 10^(-38) cm2
 116.71000:   13.03423748 x 10^(-38) cm2
 118.43000:   13.22304531 x 10^(-38) cm2
Erange 0.0 to 118.43 sum = 918.71937177 x 10^(-38) cm^2
