   1.64010:    4.86316047 x 10^(-38) cm2
   1.66410:    4.96508692 x 10^(-38) cm2
   1.68850:    5.07485800 x 10^(-38) cm2
   1.71330:    5.16899164 x 10^(-38) cm2
   1.73840:    5.28095844 x 10^(-38) cm2
   1.76390:    5.38766435 x 10^(-38) cm2
   1.78980:    5.49738726 x 10^(-38) cm2
   1.81600:    5.59729368 x 10^(-38) cm2
   1.84260:    5.70509490 x 10^(-38) cm2
   1.86960:    5.80631160 x 10^(-38) cm2
   1.89710:    5.91611842 x 10^(-38) cm2
   1.92490:    6.01600090 x 10^(-38) cm2
   1.95310:    6.13056208 x 10^(-38) cm2
   1.98170:    6.24679949 x 10^(-38) cm2
   2.01080:    6.36754382 x 10^(-38) cm2
   2.04030:    6.48190224 x 10^(-38) cm2
   2.07020:    6.60176508 x 10^(-38) cm2
   2.10050:    6.72535119 x 10^(-38) cm2
   2.13130:    6.84233699 x 10^(-38) cm2
   2.16260:    6.95762136 x 10^(-38) cm2
   2.19430:    7.07927909 x 10^(-38) cm2
   2.22650:    7.19062017 x 10^(-38) cm2
   2.25910:    7.30822965 x 10^(-38) cm2
   2.29230:    7.42433979 x 10^(-38) cm2
   2.32590:    7.54650601 x 10^(-38) cm2
   2.36000:    7.66426205 x 10^(-38) cm2
   2.39460:    7.78092982 x 10^(-38) cm2
   2.42970:    7.89938820 x 10^(-38) cm2
   2.46530:    8.02535234 x 10^(-38) cm2
   2.50150:    8.14436920 x 10^(-38) cm2
   2.53810:    8.27532523 x 10^(-38) cm2
   2.57540:    8.40173604 x 10^(-38) cm2
   2.61310:    8.52681343 x 10^(-38) cm2
   2.65140:    8.65907084 x 10^(-38) cm2
   2.69030:    8.78908253 x 10^(-38) cm2
   2.72980:    8.91877701 x 10^(-38) cm2
   2.76980:    9.05204123 x 10^(-38) cm2
   2.81040:    9.18477239 x 10^(-38) cm2
   2.85160:    9.31809576 x 10^(-38) cm2
   2.89340:    9.45245558 x 10^(-38) cm2
   2.93580:    9.58876362 x 10^(-38) cm2
   2.97890:    9.72173528 x 10^(-38) cm2
   3.02260:    9.85207490 x 10^(-38) cm2
   3.06690:    9.97684220 x 10^(-38) cm2
   3.11190:   10.11308595 x 10^(-38) cm2
   3.15750:   10.24833305 x 10^(-38) cm2
   3.20380:   10.38259537 x 10^(-38) cm2
   3.25080:   10.52554754 x 10^(-38) cm2
   3.29840:   10.67619769 x 10^(-38) cm2
   3.34680:   10.82239770 x 10^(-38) cm2
